currency,std_d Dev,Exchange_Rate (%),ROC,Short MA,Long MA
RON,0.0,-0.53,-0.0312,0.0171,0.0171,0.0172,0.0171
ADA,0.001,-64.14,2.5678,0.0048,0.0048,0.0056,0.0034
AMP,0.0355,-12.42,7.285,0.7338,0.7338,0.7802,0.694
